job_title,job_type,position_level,city,experience,skills,job_fields,salary,salary_min,salary_max,unit,event_time,event_type
chuyên viên qa qc,nhân viên chính thức,nhân viên,hồ chí minh,trên 2 năm,"qa, chuyên viên quản lý chất lượng, qc, qa qc analyst, chuyên viên qa, quality assurance engineer, nhân viên quản lý chất lượng, qc staff","qc), quản lý chất lượng (qa",10 tr - 12 tr vnd,10.0,12.0,vnd,2026-01-16T22:04:03.000Z,JOB_CREATED
kỹ sư thiết kế kết cấu,nhân viên chính thức,nhân viên,hà nội,1 - 2 năm,"kỹ sư thiết kế kết cấu, giám sát thi công kết cấu, kỹ sư kinh tế xây dựng chuyên ngành cầu đường, kỹ sư xây dựng, civil engineer, họa viên kết cấu, construction engineer, kỹ sư công trình, site engineer, kỹ sư xây dựng dân dụng công nghiệp, nhân viên thiết kế kết cấu","kiến trúc, xây dựng",12 tr - 20 tr vnd,12.0,20.0,vnd,2026-01-16T22:04:04.000Z,JOB_CREATED
nhân viên quản lý dữ liệu sản xuất,nhân viên chính thức,nhân viên,hà nội,không yêu cầu,"","kế toán, kiểm toán, bán hàng kỹ thuật",10 tr - 12 tr vnd,10.0,12.0,vnd,2026-01-16T22:04:04.000Z,JOB_CREATED
chuyên viên tư vấn tài chính kênh liên doanh ngân hàng bidv,nhân viên chính thức,nhân viên,hậu giang,1 - 3 năm,"nhân viên tư vấn, bất động sản, ngân hàng, tư vấn, tư vấn viên, bảo hiểm, nhân viên kinh doanh, chăm sóc khách hàng, giao dịch viên","tư vấn, bán hàng, kinh doanh, ngân hàng",8 tr - 20 tr vnd,8.0,20.0,vnd,2026-01-16T22:04:05.000Z,JOB_CREATED
nhân viên telesale tư vấn mảng thẻ cho ngân hàng quốc tế singapore không yêu cầu kinh nghiệm làm tại cầu giấy,nhân viên chính thức,nhân viên,hà nội,không yêu cầu,"nhân viên telesale, tư vấn mảng thẻ cho ngân hàng quốc tế singapore không yêu cầu kinh nghiệm làm tại cầu giấy","kinh doanh, bưu chính viễn thông, bán hàng, cntt - phần mềm",8 tr - 30 tr vnd,8.0,30.0,vnd,2026-01-16T22:04:07.000Z,JOB_CREATED
nhân viên bảo trì kỹ thuật,nhân viên chính thức,nhân viên,hồ chí minh,2 - 3 năm,"","điện, sửa chữa, bảo trì, xây dựng, điện tử, điện lạnh, điện công nghiệp",12 tr - 15 tr vnd,12.0,15.0,vnd,2026-01-16T22:04:07.000Z,JOB_CREATED
kỹ sư giám sát công trình,nhân viên chính thức,nhân viên,hồ chí minh,không yêu cầu,"construction superintendent, kỹ sư giám sát công trình, construction supervisor, chuyên ngành cơ điện","nội ngoại thất, xây dựng",10 tr - 20 tr vnd,10.0,20.0,vnd,2026-01-16T22:04:08.000Z,JOB_CREATED
quản lý cửa hàng thành phố bà rịa,nhân viên chính thức,"trưởng nhóm , giám sát",bà rịa  vũng tàu,1 - 2 năm,"","tư vấn, bán sỉ, bán lẻ, kinh doanh, bán hàng",12 tr - 15 tr vnd,12.0,15.0,vnd,2026-01-16T22:04:10.000Z,JOB_CREATED
nhân viên kỹ thuật cơ khí,nhân viên chính thức,nhân viên,long an,không yêu cầu,"engineering manager, development engineering manager","sửa chữa, cơ khí, bảo trì, tự động hóa, ô tô, vận hành sản xuất, sản xuất",8 tr - 12 tr vnd,8.0,12.0,vnd,2026-01-16T22:04:11.000Z,JOB_CREATED
chuyên viên tập sự khách hàng doanh nghiệp phòng giao dịch hoài nhơn cn bình định,thực tập,"sinh viên, thực tập sinh",bình định,không yêu cầu,chuyên viên tập sự khách hàng doanh nghiệp phòng giao dịch hoài nhơn cn. bình định cnlt.,"ngân hàng, đầu tư, kinh doanh, bán hàng, tài chính","2,5 tr - 15 tr vnd",2.5,15.0,vnd,2026-01-16T22:04:12.000Z,JOB_CREATED
nhân viên hành chính lễ tân,nhân viên chính thức,nhân viên,hà nội,trên 1 năm,"admin assistant, thư ký hành chánh, admin officer, nhân viên hành chánh, nhân viên hành chánh văn phòng, nhân viên hành chánh dự án, secretary admin, admin staff, nhân viên hành chính lễ tân, admin executive, trợ lý hành chính","thư ký, hành chính, xây dựng, kinh doanh, bán hàng",9 tr - 12 tr vnd,9.0,12.0,vnd,2026-01-16T22:04:15.000Z,JOB_CREATED
giáo viên tiếng anh mầm non,nhân viên chính thức,nhân viên,bình dương,1 - 2 năm,"english teacher, teacher of english, giáo viên anh văn, giáo viên tiếng anh mầm non bến cát bình dương, giáo viên anh ngữ, english teaching","giáo dục, đào tạo, biên phiên dịch","8,5 tr - 11 tr vnd",8.5,11.0,vnd,2026-01-16T22:04:17.000Z,JOB_CREATED
chủ trì thiết kế cầu đường,nhân viên chính thức,quản lý,hồ chí minh,7 - 10 năm,"","kiến trúc, xây dựng",20 tr - 30 tr vnd,20.0,30.0,vnd,2026-01-16T22:04:17.000Z,JOB_CREATED
chuyên viên điều phối dự án,nhân viên chính thức,nhân viên,hà nội,3 - 5 năm,"project coordinator, nhân viên điều phối dự án, project assistant, giám sát dự án, project engineer, chuyên viên điều phối dự án project coordinator, điều phối viên dự án, trợ lý dự án, project executive","kinh doanh, bán hàng, tư vấn, dịch vụ khách hàng",15 tr - 18 tr vnd,15.0,18.0,vnd,2026-01-16T22:04:20.000Z,JOB_CREATED
chuyên viên tư vấn trả góp ô tô,nhân viên chính thức,nhân viên,quảng bình,1 - 3 năm,"sales auto, pos sales, chuyên viên ô tô, installment sales, chuyên viên tư vấn trả góp ô tô pos, trả góp, chăm sóc khách hàng ô tô, ô tô","đầu tư, bán sỉ, bán lẻ, kinh doanh, bán hàng, tài chính",17 tr - 30 tr vnd,17.0,30.0,vnd,2026-01-16T22:04:21.000Z,JOB_CREATED
nhân viên sáng tạo nội dung content creator,nhân viên chính thức,nhân viên,hà nội,trên 1 năm,"content, content executive, senior content executive, content creator, tiktok, nhân viên sáng tạo nội dung","marketing, truyền thông, đối ngoại, quảng cáo, tiếp thị trực tuyến, tiếp thị",trên 12 tr vnd,12.0,0.0,vnd,2026-01-16T22:04:22.000Z,JOB_CREATED
kế toán tổng hợp,nhân viên chính thức,nhân viên,hà nội,3 - 5 năm,"kế toán tổng hợp, kế toán xây dựng, chuyên viên kế toán, general accountant, nhân viên kế toán","kế toán, bất động sản, đầu tư, kiểm toán, tài chính",18 tr - 20 tr vnd,18.0,20.0,vnd,2026-01-16T22:04:24.000Z,JOB_CREATED
nhân viên cơ khí,nhân viên chính thức,nhân viên,hồ chí minh,trên 1 năm,"nhân viên cơ khí, welder, thợ hàn tuyển gấp","sửa chữa, cơ khí, bảo trì, tự động hóa, ô tô",7 tr - 15 tr vnd,7.0,15.0,vnd,2026-01-16T22:04:26.000Z,JOB_CREATED
nhân viên tư vấn kinh doanh mảng auto trả góp hà tĩnh,nhân viên chính thức,nhân viên,hà tĩnh,1 - 2 năm,"","ngân hàng, đầu tư, kinh doanh, bán hàng, tài chính",7 tr - 12 tr vnd,7.0,12.0,vnd,2026-01-16T22:04:28.000Z,JOB_CREATED
trưởng phòng marketing,nhân viên chính thức,quản lý,hà nội,2 - 3 năm,"giám đốc marketing, trưởng phòng marketing, makerting manager, makerting director, marketing supervisor, giám sát tiếp thị, giám đốc truyền thông & tiếp thị, giám đốc tiếp thị","kinh doanh, tiếp thị, marketing, bán hàng",20 tr - 30 tr vnd,20.0,30.0,vnd,2026-01-16T22:04:29.000Z,JOB_CREATED
nhân viên phục vụ,nhân viên chính thức,nhân viên,hồ chí minh,không yêu cầu,"nhân viên order, nhân viên phục vụ full time & part time, waiter, phục vụ bàn, nhân viên chạy bàn, nhân viên nhà hàng, waitress, nhân viên bàn","marketing, thực phẩm & đồ uống, nhà hàng, tiếp thị, khách sạn",8 tr - 9 tr vnd,8.0,9.0,vnd,2026-01-16T22:04:31.000Z,JOB_CREATED
công nhân vận hành thiết bị sản xuất bao bì dược phẩm,nhân viên chính thức,nhân viên,hậu giang,không yêu cầu,"sản xuất bao bì, công nhân vận hành thiết bị sản xuất bao bì dược phẩm, vận hành máy, công nhân sản xuất","dược phẩm, xuất bản, hóa mỹ phẩm, in ấn, vận hành sản xuất, sản xuất",7 tr - 10 tr vnd,7.0,10.0,vnd,2026-01-16T22:04:33.000Z,JOB_CREATED
thực tập sinh kinh doanh,nhân viên chính thức,mới tốt nghiệp,hồ chí minh,không yêu cầu,"thực tập sinh kinh doanh lương cứng up to .. vnđ làm việc tại quận, internship, sinh viên thực tập, nhân viên thực tập, nhân viên thực tập nước ngoài","marketing, bán sỉ, bán lẻ, kinh doanh, tiếp thị, bán hàng",6 tr - 10 tr vnd,6.0,10.0,vnd,2026-01-16T22:04:34.000Z,JOB_CREATED
trưởng bộ phận điều phối vật tư,nhân viên chính thức,"trưởng nhóm , giám sát",hưng yên,2 - 5 năm,"điều vận, trưởng bộ phận, kế hoạch, trưởng bộ phận điều phối vật tư nhà máy karofi hưng yên, mua hàng, purchasing","kế toán, kiểm toán, giao nhận, vận chuyển, xuất nhập khẩu, kho vận",18 tr - 25 tr vnd,18.0,25.0,vnd,2026-01-16T22:04:36.000Z,JOB_CREATED
nhân viên bảo trì cơ điện,nhân viên chính thức,nhân viên,bình dương,1 - 3 năm,"electrical worker, electrician, công nhân cơ điện, thợ điện, nhân viên bảo trì cơ điện nhà máy bến cát, công nhân điện","điện, sửa chữa, cơ khí, bảo trì, điện tử, điện lạnh, tự động hóa, điện công nghiệp, ô tô",8 tr - 12 tr vnd,8.0,12.0,vnd,2026-01-16T22:04:38.000Z,JOB_CREATED
marketing executive,nhân viên chính thức,nhân viên,bình dương,1 - 2 năm,"marketer, offline, marketing specialist, nhân viên marketing, marketing executive bến cát bình dương","tổ chức sự kiện, marketing, truyền thông, đối ngoại, quảng cáo, tiếp thị",10 tr - 12 tr vnd,10.0,12.0,vnd,2026-01-16T22:04:40.000Z,JOB_CREATED
kế toán trưởng,nhân viên chính thức,quản lý,hưng yên,trên 5 năm,"kế toán trưởng, accounting manager, chief accountant, trưởng phòng kế toán","kế toán, bất động sản, đầu tư, kiểm toán, tài chính",lên đến 30 tr vnd,0.0,30.0,vnd,2026-01-16T22:04:40.000Z,JOB_CREATED
tax accountant,nhân viên chính thức,nhân viên,hà nội,trên 5 năm,"tax accountant, kế toán thuế","kế toán, ngân hàng, kiểm toán, bán sỉ, bán lẻ",trên 20 tr vnd,20.0,0.0,vnd,2026-01-16T22:04:42.000Z,JOB_CREATED
trưởng nhóm tiếng anh mầm non,nhân viên chính thức,"trưởng nhóm , giám sát",đồng nai,1 - 2 năm,"","giáo dục, đào tạo, biên phiên dịch",9 tr - 15 tr vnd,9.0,15.0,vnd,2026-01-16T22:04:44.000Z,JOB_CREATED
nhân viên kinh doanh giáo dục,nhân viên chính thức,nhân viên,hồ chí minh,trên 1 năm,"sales executive, nhân viên phòng kinh doanh, chuyên viên kinh doanh, đại diện bán hàng, đại diện kinh doanh, sales engineer, sales dept, telesales, salesman, nhân viên bán hàng, nhân viên kinh doanh giáo dục","tư vấn, kinh doanh, giáo dục, bán hàng, đào tạo",trên 15 tr vnd,15.0,0.0,vnd,2026-01-16T22:04:45.000Z,JOB_CREATED
store assistant,nhân viên chính thức,"trưởng nhóm , giám sát",hồ chí minh,1 - 2 năm,"store assistant department assistant retail, assistant, trợ lý cửa hàng trưởng, shop assistant, retail","bán sỉ, bán hàng, bán lẻ, kinh doanh",lên đến 14 tr vnd,0.0,14.0,vnd,2026-01-16T22:04:48.000Z,JOB_CREATED
giáo viên tiếng trung đi làm sau tết,nhân viên chính thức,nhân viên,đồng nai,1 - 2 năm,"chinese teacher, giáo viên tiếng trung đi làm sau tết, giáo viên dạy kèm tiếng trung","giáo dục, đào tạo, biên phiên dịch",8 tr - 12 tr vnd,8.0,12.0,vnd,2026-01-16T22:04:50.000Z,JOB_CREATED
spanish operator,nhân viên chính thức,nhân viên,hồ chí minh,không yêu cầu,"","kinh doanh, bán hàng, dịch vụ khách hàng",15 tr - 30 tr vnd,15.0,30.0,vnd,2026-01-16T22:04:51.000Z,JOB_CREATED
developer ba,nhân viên chính thức,nhân viên,hà nội,3 - 4 năm,"","cntt - phần cứng, thống kê, mạng, cntt - phần mềm",20 tr - 30 tr vnd,20.0,30.0,vnd,2026-01-16T22:04:53.000Z,JOB_CREATED
kế toán tổng hợp,nhân viên chính thức,nhân viên,bà rịa  vũng tàu,1 - 2 năm,"general accountant, kế toán tổng hợp","kinh doanh, kế toán, bán hàng, kiểm toán","6,5 tr - 7,5 tr vnd",6.5,7.5,vnd,2026-01-16T22:04:54.000Z,JOB_CREATED
trưởng phòng xuất nhập khẩu mua hàng,nhân viên chính thức,"trưởng nhóm , giám sát",nghệ an,5 - 20 năm,"head of export import department, trưởng phòng mua hàng, trưởng phòng xuất nhập khẩu, export import director, export import manager","y tế, dược phẩm, thẩm mỹ, hóa mỹ phẩm, xuất nhập khẩu, làm đẹp, chăm sóc sức khỏe",30 tr - 40 tr vnd,30.0,40.0,vnd,2026-01-16T22:04:55.000Z,JOB_CREATED
trưởng ca bộ phận food,nhân viên chính thức,"trưởng nhóm , giám sát",hồ chí minh,trên 2 năm,"","thực phẩm & đồ uống, khách sạn, nhà hàng",10 tr - 15 tr vnd,10.0,15.0,vnd,2026-01-16T22:04:56.000Z,JOB_CREATED
chuyên viên tập sự khách hàng cá nhân phòng giao dịch lê duẩn cn đà nẵng,nhân viên chính thức,nhân viên,đà nẵng,không yêu cầu,chuyên viên tập sự khách hàng cá nhân phòng giao dịch lê duẩn cn. đà nẵng cnlt.,"bán sỉ, bảo hiểm, bán lẻ, ngân hàng",5 tr - 15 tr vnd,5.0,15.0,vnd,2026-01-16T22:04:58.000Z,JOB_CREATED
