job_title,job_type,position_level,city,experience,skills,job_fields,salary,salary_min,salary_max,unit,event_time,event_type
technical engineer – chuyên viên kỹ thuật,nhân viên chính thức,nhân viên,hà nội,không yêu cầu,"technical assurance engineer, technical engineer – chuyên viên kỹ thuật, technical support engineer","điện, sửa chữa, bảo trì, điện tử, điện lạnh, điện công nghiệp","600 - 1,000 usd",15.0,25.0,usd,2026-01-16T22:06:00.000Z,JOB_CREATED
nhân viên vận hành rcl,nhân viên chính thức,nhân viên,bà rịa  vũng tàu,1 - 3 năm,"","điện, cơ khí, điện tử, điện lạnh, tự động hóa, điện công nghiệp, ô tô, vận hành sản xuất, sản xuất",7 tr - 10 tr vnd,7.0,10.0,vnd,2026-01-16T22:06:01.000Z,JOB_CREATED
sales executive staff,nhân viên chính thức,nhân viên,hà nội,không yêu cầu,"chuyên viên kinh doanh, sales supervisor, nhân viên kinh doanh, chuyên viên bán hàng, sales executive staff hanoi office, quản lý kinh doanh, nhân viên bán hàng","giao nhận, vận chuyển, xuất nhập khẩu, kho vận",440 - 500 usd,11.0,12.5,usd,2026-01-16T22:06:02.000Z,JOB_CREATED
chuyên viên cao cấp qhkh cá nhân kv đà nẵng,nhân viên chính thức,nhân viên,đà nẵng,1 - 2 năm,"nhân viên kinh doanh bảo hiểm, chuyên viên khách hàng, nhân viên ngân hàng, nhân viên bán hàng trực tiếp, cho vay thế chấp, chuyên viên quan hệ khách hàng, nhân viên kinh doanh bất động sản, nhân viên tín dụng, nhân viên tư vấn tài chính cá nhân, giám đốc quan hệ khách hàng cá nhân","ngân hàng, đầu tư, kinh doanh, bán hàng, tài chính",10 tr - 20 tr vnd,10.0,20.0,vnd,2026-01-16T22:06:04.000Z,JOB_CREATED
leader sale otc,nhân viên chính thức,nhân viên,hà nội,2 - 3 năm,"sale thị trường, trưởng phòng kinh doanh, leader sale","kinh doanh, bán hàng",25 tr - 30 tr vnd,25.0,30.0,vnd,2026-01-16T22:06:05.000Z,JOB_CREATED
kế toán kho,nhân viên chính thức,nhân viên,đồng nai,2 - 3 năm,"","kế toán, vật tư, kiểm toán, thu mua, giao nhận, vận chuyển, kho vận","8,5 tr - 10 tr vnd",8.5,10.0,vnd,2026-01-16T22:06:07.000Z,JOB_CREATED
general marketing executive,nhân viên chính thức,nhân viên,hồ chí minh,3 - 5 năm,"marketing specialist, chuyên viên marketing","tiếp thị, marketing",16 tr - 20 tr vnd,16.0,20.0,vnd,2026-01-16T22:06:08.000Z,JOB_CREATED
nhân viên kinh doanh,nhân viên chính thức,nhân viên,hồ chí minh,1 - 2 năm,"nhân viên kinh doanh, nhân viên kinh doanh (b2b)","tư vấn, bán sỉ, bán lẻ, kinh doanh, bán hàng",10 tr - 20 tr vnd,10.0,20.0,vnd,2026-01-16T22:06:10.000Z,JOB_CREATED
thư ký xuất bản tiếng trung,nhân viên chính thức,nhân viên,hà nội,1 - 2 năm,"secretary, clerk, trợ lý, thư ký xuất bản tiếng trung","thư ký, hành chính",8 tr - 12 tr vnd,8.0,12.0,vnd,2026-01-16T22:06:13.000Z,JOB_CREATED
kế toán tổng hợp tiếng anh hoặc tiếng nhật,nhân viên chính thức,nhân viên,hà nội,3 - 5 năm,"kế toán tổng hợp, kế toán, bosch, go young corporation (hcmc), general accountant, tri thức việt, kế toán tổng hợp thương mại, nhân viên kế toán","tư vấn, kế toán, kiểm toán, dịch vụ khách hàng",17 tr - 25 tr vnd,17.0,25.0,vnd,2026-01-16T22:06:15.000Z,JOB_CREATED
nhân viên mua hàng,nhân viên chính thức,nhân viên,hà nam,1 - 3 năm,"buyer, nhân viên thu mua, nhân viên mua hàng","thu mua, vật tư",12 tr - 18 tr vnd,12.0,18.0,vnd,2026-01-16T22:06:16.000Z,JOB_CREATED
