job_title,job_type,position_level,city,experience,skills,job_fields,salary,salary_min,salary_max,unit,event_time,event_type
chăm sóc khách hàng ứng dụng du lịch thu nhập 10 13 triệu tháng thử việc full lương,nhân viên chính thức,nhân viên,hồ chí minh,không yêu cầu,"khách hàng, chăm sóc khách hàng ứng dụng du lịch tiếng anh lưu loát thu nhập triệu, tháng thử việc full lương, customer services, cskh","du lịch, dịch vụ khách hàng",8 tr - 13 tr vnd,8.0,13.0,vnd,2026-01-16T22:07:00.000Z,JOB_CREATED
chuyên viên giám sát vận hành gia lai,nhân viên chính thức,nhân viên,gia lai,3 - 10 năm,"commissioning supervisor, chuyên viên giám sát vận hành gia lai, giám sát thử máy, giám sát thử biển","giao nhận, vận chuyển, kho vận",15 tr - 23 tr vnd,15.0,23.0,vnd,2026-01-16T22:07:01.000Z,JOB_CREATED
nhân viên tư vấn trả góp trực tại cửa hàng xe máy điện thoại tổng thu nhập từ 8tr tháng,nhân viên chính thức,nhân viên,kon tum,không yêu cầu,"","kinh doanh, bán hàng, tư vấn, dịch vụ khách hàng",8 tr - 15 tr vnd,8.0,15.0,vnd,2026-01-16T22:07:03.000Z,JOB_CREATED
hr assistant,nhân viên chính thức,nhân viên,hà nội,2 - 3 năm,"",nhân sự,12 tr - 17 tr vnd,12.0,17.0,vnd,2026-01-16T22:07:03.000Z,JOB_CREATED
giám sát cơ điện,nhân viên chính thức,nhân viên,hồ chí minh,8 - 10 năm,"","điện công nghiệp, điện lạnh, điện, điện tử",25 tr - 30 tr vnd,25.0,30.0,vnd,2026-01-16T22:07:06.000Z,JOB_CREATED
quản lý nhà hàng,nhân viên chính thức,quản lý,hà nội,trên 2 năm,"quản lý nhà hàng, hospitality and restaurant management, restaurant manager","thực phẩm & đồ uống, nhà hàng, bán sỉ, bán lẻ, khách sạn",16 tr - 18 tr vnd,16.0,18.0,vnd,2026-01-16T22:07:07.000Z,JOB_CREATED
giám sát nội thất lĩnh vực f b,nhân viên chính thức,nhân viên,hà nội,2 - 3 năm,"kỹ sư giám sát công trình, giám sát nội thất, giám sát công trình, kỹ sư giám sát xây dựng hoàn thiện","kiến trúc, nội ngoại thất, xây dựng",15 tr - 18 tr vnd,15.0,18.0,vnd,2026-01-16T22:07:09.000Z,JOB_CREATED
thực tập sinh biết tiếng trung,thực tập,"sinh viên, thực tập sinh",hồ chí minh,không yêu cầu,"thực tập sinh biết tiếng trung, internship, sinh viên thực tập, edit video tiktok, nhân viên thực tập, editor, nhân viên thực tập nước ngoài","thương mại điện tử, tiếp thị, marketing, biên phiên dịch",3 tr - 4 tr vnd,3.0,4.0,vnd,2026-01-16T22:07:10.000Z,JOB_CREATED
trưởng nhóm tuyển sinh lương từ 15tr,nhân viên chính thức,"trưởng nhóm , giám sát",ninh bình,1 - 2 năm,"tuyển sinh, tư vấn, giáo dục, trưởng nhóm tuyển sinh ocean edu hoa lư lương từ tr, đào tạo","tư vấn, giáo dục, dịch vụ khách hàng, đào tạo",15 tr - 17 tr vnd,15.0,17.0,vnd,2026-01-16T22:07:11.000Z,JOB_CREATED
hardware design engineer,nhân viên chính thức,nhân viên,hà nội,trên 1 năm,hardware design engineer pin bess,"điện, mạng, điện tử, điện lạnh, điện công nghiệp, cntt - phần cứng",15 tr - 30 tr vnd,15.0,30.0,vnd,2026-01-16T22:07:12.000Z,JOB_CREATED
nhân viên thu ngân,nhân viên chính thức,nhân viên,đồng nai,trên 1 năm,"thu ngân, nhân viên thâu ngân, thủ quỹ, nhân viên thẩm mỹ viện, nhân viên thu ngân, cashier","kế toán, kiểm toán",9 tr - 11 tr vnd,9.0,11.0,vnd,2026-01-16T22:07:13.000Z,JOB_CREATED
bác sĩ da liễu ngành spa thu nhập 35tr,nhân viên chính thức,nhân viên,hồ chí minh,2 - 3 năm,"","thẩm mỹ, y tế, chăm sóc sức khỏe, làm đẹp",20 tr - 65 tr vnd,20.0,65.0,vnd,2026-01-16T22:07:16.000Z,JOB_CREATED
trưởng ca sản xuất,nhân viên chính thức,quản lý,long an,3 - 5 năm,"production supervisor, production shift supervisor, production process supervisor, production process manager, process supervisor, trưởng ca sản xuất làm việc tại nhà máy thực phẩm đức hoà long an, giám sát quy trình sản xuất","thực phẩm & đồ uống, dinh dưỡng, công nghệ thực phẩm",12 tr - 15 tr vnd,12.0,15.0,vnd,2026-01-16T22:07:18.000Z,JOB_CREATED
115949 tiếng nhật nv sales kỹ thuật máy móc,nhân viên chính thức,nhân viên,hà nam,trên 1 năm,"kinh doanh kỹ thuật, chuyên viên kinh doanh, sales kỹ thuật, nhân viên kinh doanh, kỹ sư bán hàng, tiếng nhật nv sales kỹ thuật máy móc, sales engineer","cơ khí, tự động hóa, kinh doanh, ô tô, bán hàng",12 tr - 20 tr vnd,12.0,20.0,vnd,2026-01-16T22:07:20.000Z,JOB_CREATED
nhân viên triển khai bản vẽ kỹ thuật nội thất làm việc tại văn phòng hà nội – phú quốc vĩnh phúc gấp,nhân viên chính thức,nhân viên,lâm đồng,2 - 15 năm,"accountant and administrative staff, nhân viên triển khai bản vẽ kỹ thuật nội thất làm việc tại văn phòng hà nội đà lạt vĩnh phúc gấp, chuyên viên kế toán chuyên quản, credit accountant, accounting executive, accountant cum office admin, nhân viên kế toán vật tư, nhân viên kế toán nhà máy, nhân viên phòng kế toán, kế toán kho vận, cán bộ tài chính kế toán","nghệ thuật, thiết kế, đồ gỗ, nội ngoại thất, mỹ thuật",12 tr - 20 tr vnd,12.0,20.0,vnd,2026-01-16T22:07:22.000Z,JOB_CREATED
