job_title,job_type,position_level,city,experience,skills,job_fields,salary,salary_min,salary_max,unit,event_time,event_type
nhân viên kỹ thuật công nghệ vật liệu,nhân viên chính thức,nhân viên,hà nội,lên đến 2 năm,"kỹ thuật viên, nhân viên kỹ thuật công nghệ vật liệu, technician","vật tư, hóa học, thu mua, vận hành sản xuất, sản xuất",13 tr - 17 tr vnd,13.0,17.0,vnd,2026-01-16T22:05:02.000Z,JOB_CREATED
sales bd manager khu vực miền nam,nhân viên chính thức,giám đốc,cần thơ,5 - 7 năm,"manager, officier, coordinator, associates accountant, nhân viên mua hàng staff, purchasing staff, staff, supervisor, executive, purchasing, specialist","kinh doanh, giao nhận, vận chuyển, thương mại điện tử, bán hàng, kho vận",30 tr - 50 tr vnd,30.0,50.0,vnd,2026-01-16T22:05:03.000Z,JOB_CREATED
kỹ sư kết cấu,nhân viên chính thức,nhân viên,hà nội,trên 1 năm,"c&s engineer, kỹ sư công trình, kỹ sư xây dựng, civil engineer, construction engineer, site engineer","nghệ thuật, thiết kế, kiến trúc, xây dựng, mỹ thuật",10 tr - 18 tr vnd,10.0,18.0,vnd,2026-01-16T22:05:05.000Z,JOB_CREATED
chuyên viên khách hàng cá nhân phòng giao dịch quỳnh lưu cn hà huy tập,nhân viên chính thức,nhân viên,nghệ an,không yêu cầu,chuyên viên khách hàng cá nhân phòng giao dịch quỳnh lưu cn. hà huy tập cn.,"ngân hàng, đầu tư, kinh doanh, bán hàng, tài chính",9 tr - 35 tr vnd,9.0,35.0,vnd,2026-01-16T22:05:06.000Z,JOB_CREATED
technical manager,nhân viên chính thức,quản lý,long an,trên 10 năm,"","vận hành sản xuất, đồ gỗ, nội ngoại thất, sản xuất",25 tr - 35 tr vnd,25.0,35.0,vnd,2026-01-16T22:05:07.000Z,JOB_CREATED
trưởng phòng sản xuất biết tiếng nhật vĩnh phúc,nhân viên chính thức,"trưởng nhóm , giám sát",vĩnh phúc,trên 10 năm,"cắt gọt kim loại, trưởng phòng sản xuất, gia công cơ khí, production manager, tiếng nhật, manufacturing manager","cơ khí, tự động hóa, ô tô, vận hành sản xuất, sản xuất",30 tr - 35 tr vnd,30.0,35.0,vnd,2026-01-16T22:05:08.000Z,JOB_CREATED
chuyên viên ub phòng giao dịch trung đô cn nghệ an,nhân viên chính thức,nhân viên,nghệ an,không yêu cầu,chuyên viên khách hàng doanh nghiệp phòng giao dịch trung đô cn. nghệ an cnlt. chuyên viên ub phòng giao dịch trung đô cn. nghệ an cnlt.,"bán sỉ, bảo hiểm, bán lẻ, ngân hàng",5 tr - 15 tr vnd,5.0,15.0,vnd,2026-01-16T22:05:10.000Z,JOB_CREATED
chuyên viên truyền thông marketing,nhân viên chính thức,nhân viên,hà nội,2 - 3 năm,"tổ chức sự kiện, chuyên viên truyền thông marketing, public relations executive, chuyên viên pr, pr executive, public relations specialist, public affairs, pr specialist, public affairs manager, chuyên viên quan hệ công chúng","tiếp thị, marketing",15 tr - 20 tr vnd,15.0,20.0,vnd,2026-01-16T22:05:12.000Z,JOB_CREATED
huấn luyện viên bơi,nhân viên chính thức,nhân viên,hà nội,1 - 3 năm,"giáo viên, huấn luyện viên bơi, teacher","giáo dục, đào tạo",8 tr - 10 tr vnd,8.0,10.0,vnd,2026-01-16T22:05:13.000Z,JOB_CREATED
trợ lý giám đốc tuyển nam,nhân viên chính thức,nhân viên,hà nội,1 - 2 năm,"kiêm nhân viên hành chính văn phòng, trợ lý giám đốc biết lái xe tuyển nam, assistant to director, trợ lý giám đốc, điều hành, trợ lý quản lý, trợ lý tổng hợp, trợ lý thư ký, assistant director, assistant manager","thư ký, hành chính",12 tr - 16 tr vnd,12.0,16.0,vnd,2026-01-16T22:05:15.000Z,JOB_CREATED
