job_title,job_type,position_level,city,experience,skills,job_fields,salary,salary_min,salary_max,unit,event_time,event_type
quản lý nhà hàng,nhân viên chính thức,quản lý,hà nội,3 - 5 năm,"quản lý nhà hàng, hospitality and restaurant management, restaurant manager","thực phẩm & đồ uống, khách sạn, dịch vụ khách hàng, nhà hàng",12 tr - 14 tr vnd,12.0,14.0,vnd,2026-01-16T22:08:01.000Z,JOB_CREATED
nhân viên hành chính,nhân viên chính thức,nhân viên,đồng nai,1 - 2 năm,"nhân viên hành chánh văn phòng, thư ký hành chánh, nhân viên hành chánh, nhân viên hành chính","dệt may, thư ký, da giày, hành chính, nhân sự, thời trang",9 tr - 12 tr vnd,9.0,12.0,vnd,2026-01-16T22:08:02.000Z,JOB_CREATED
trưởng phòng công nghệ thông tin,nhân viên chính thức,quản lý,hà nội,trên 5 năm,"head of it, giám đốc it công nghệ thông tin, trưởng phòng cntt, it manager, information technology manager, cto, trưởng phòng it, giám đốc it cntt, trưởng phòng công nghệ thông tin, it director, chief technology officer","ngành khác, cntt - phần cứng, mạng, cntt - phần mềm",30 tr - 40 tr vnd,30.0,40.0,vnd,2026-01-16T22:08:04.000Z,JOB_CREATED
chuyên viên tư vấn giáo dục ocean edu yên mỹ thu nhập từ 13 triệu trở lên phỏng vấn đi làm ngay,nhân viên chính thức,nhân viên,hưng yên,không yêu cầu,chuyên viên tư vấn giáo dục ocean edu yên mỹ thu nhập từ triệu trở lên phỏng vấn đi làm ngay,"kinh doanh, bán hàng, tư vấn, dịch vụ khách hàng",13 tr - 14 tr vnd,13.0,14.0,vnd,2026-01-16T22:08:06.000Z,JOB_CREATED
designer,nhân viên chính thức,nhân viên,hồ chí minh,1 - 2 năm,"","tổ chức sự kiện, marketing, nghệ thuật, thiết kế, mỹ thuật, tiếp thị",10 tr - 14 tr vnd,10.0,14.0,vnd,2026-01-16T22:08:07.000Z,JOB_CREATED
tuyển gấp giám sát nhà hàng,nhân viên chính thức,"trưởng nhóm , giám sát",bình dương,1 - 2 năm,giám sát ca,"khách sạn, nhà hàng","7,5 tr - 8,5 tr vnd",7.5,8.5,vnd,2026-01-16T22:08:09.000Z,JOB_CREATED
nhân viên pháp chế,nhân viên chính thức,nhân viên,hà nội,3 - 4 năm,"compliance officer, legal specialist, chuyên viên pháp chế, legal specialist financial fraud investigator","kiến trúc, bất động sản, xây dựng",15 tr - 20 tr vnd,15.0,20.0,vnd,2026-01-16T22:08:10.000Z,JOB_CREATED
business development leader,nhân viên chính thức,quản lý,hà nội,trên 3 năm,business development leader,"mạng, kinh doanh, bán hàng, cntt - phần cứng, cntt - phần mềm",lên đến 35 tr vnd,0.0,35.0,vnd,2026-01-16T22:08:12.000Z,JOB_CREATED
quận 7 sales assistant,"nhân viên chính thức, thực tập",nhân viên,hồ chí minh,1 - 7 năm,"","thư ký, hành chính, biên phiên dịch, kinh doanh, bán hàng",12 tr - 15 tr vnd,12.0,15.0,vnd,2026-01-16T22:08:13.000Z,JOB_CREATED
kỹ sư điều khiển tự động hóa thu nhập 15 20 triệu,nhân viên chính thức,nhân viên,hà nội,1 - 2 năm,"kỹ sư plc, kỹ sư tự động hóa, kỹ sư robot, kỹ sư điều khiển","điện, cơ khí, điện tử, điện lạnh, tự động hóa, điện công nghiệp, ô tô",13 tr - 20 tr vnd,13.0,20.0,vnd,2026-01-16T22:08:15.000Z,JOB_CREATED
